1st,2nd,3rd,Count
Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Jacob Frey,Null,Null,1
Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
Jacob Frey,Null,Null,1
Jacob Frey,Nekima Levy-Pounds,Aswar Rahman,1
Betsy Hodges,Null,Null,1
Tom Hoch,Betsy Hodges,Aswar Rahman,1
Tom Hoch,Nekima Levy-Pounds,Null,1
Raymond Dehn,Tom Hoch,Betsy Hodges,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
Jacob Frey,Raymond Dehn,Ronald Lischeid,1
Tom Hoch,Null,Null,1
Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
Nekima Levy-Pounds,Aswar Rahman,Null,1
Betsy Hodges,Jacob Frey,Tom Hoch,1
Betsy Hodges,Tom Hoch,Raymond Dehn,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Nekima Levy-Pounds,Tom Hoch,Betsy Hodges,1
Jacob Frey,Null,Null,1
Raymond Dehn,Tom Hoch,Aswar Rahman,1
Jacob Frey,Tom Hoch,Raymond Dehn,1
Tom Hoch,Jacob Frey,Null,1
Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
David Rosenfeld,Tom Hoch,Ronald Lischeid,1
Betsy Hodges,Jacob Frey,Null,1
Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
Jacob Frey,Tom Hoch,Null,1
Tom Hoch,Null,Null,1
Raymond Dehn,Nekima Levy-Pounds,Null,1
Betsy Hodges,Jacob Frey,Tom Hoch,1
Nekima Levy-Pounds,Raymond Dehn,Null,1
Jacob Frey,Betsy Hodges,Null,1
Betsy Hodges,Null,Null,1
Betsy Hodges,Raymond Dehn,Tom Hoch,1
Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
Jacob Frey,Null,Null,1
Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
Raymond Dehn,Nekima Levy-Pounds,David Rosenfeld,1
Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
Nekima Levy-Pounds,Betsy Hodges,Aswar Rahman,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Betsy Hodges,Tom Hoch,Jacob Frey,1
Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
Nekima Levy-Pounds,Al Flowers,Betsy Hodges,1
Jacob Frey,Null,Null,1
Jacob Frey,Null,Null,1
Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
Raymond Dehn,Nekima Levy-Pounds,Null,1
Jacob Frey,Raymond Dehn,Tom Hoch,1
Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
Jacob Frey,Tom Hoch,Raymond Dehn,1
Raymond Dehn,Betsy Hodges,Tom Hoch,1
Raymond Dehn,Tom Hoch,Null,1
Raymond Dehn,Betsy Hodges,Tom Hoch,1
Tom Hoch,Jacob Frey,Aswar Rahman,1
Betsy Hodges,Raymond Dehn,Null,1
Jacob Frey,Null,Null,1
Jacob Frey,Tom Hoch,Aswar Rahman,1
Jacob Frey,Null,Null,1
Betsy Hodges,Gregg A. Iverson,Jacob Frey,1
Betsy Hodges,Null,Null,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Tom Hoch,Betsy Hodges,Jacob Frey,1
Jacob Frey,Null,Null,1
Jacob Frey,Null,Null,1
Captain Jack Sparrow,Jacob Frey,Tom Hoch,1
Betsy Hodges,Null,Null,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
Betsy Hodges,Raymond Dehn,Jacob Frey,1
Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
Tom Hoch,Null,Null,1
Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
Al Flowers,Raymond Dehn,Null,1
Tom Hoch,Raymond Dehn,Betsy Hodges,1
Tom Hoch,Null,Null,1
Tom Hoch,Jacob Frey,Aswar Rahman,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Tom Hoch,Jacob Frey,Null,1
Jacob Frey,Null,Null,1
Nekima Levy-Pounds,Betsy Hodges,Null,1
Betsy Hodges,Jacob Frey,Tom Hoch,1
Jacob Frey,Null,Null,1
Tom Hoch,Jacob Frey,Null,1
Nekima Levy-Pounds,Betsy Hodges,Null,1
Betsy Hodges,Null,Null,1
Jacob Frey,Tom Hoch,Raymond Dehn,1
Charlie Gers,Null,Null,1
Raymond Dehn,Betsy Hodges,Jacob Frey,1
Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
Betsy Hodges,Tom Hoch,Raymond Dehn,1
Tom Hoch,Raymond Dehn,Jacob Frey,1
Troy Benjegerdes,Null,Null,1
Jacob Frey,Tom Hoch,Al Flowers,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Tom Hoch,Jacob Frey,Null,1
Charlie Gers,L.A. Nik,Ronald Lischeid,1
Jacob Frey,Raymond Dehn,Tom Hoch,1
Tom Hoch,Jacob Frey,Captain Jack Sparrow,1
Jacob Frey,L.A. Nik,Charlie Gers,1
Jacob Frey,Tom Hoch,Al Flowers,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Jacob Frey,Tom Hoch,Raymond Dehn,1
Tom Hoch,Betsy Hodges,Ronald Lischeid,1
Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
Tom Hoch,Null,Null,1
Jacob Frey,Charlie Gers,Tom Hoch,1
Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
Jacob Frey,Al Flowers,Nekima Levy-Pounds,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
Jacob Frey,Tom Hoch,Null,1
Jacob Frey,Betsy Hodges,Null,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
Jacob Frey,Tom Hoch,Null,1
Betsy Hodges,Tom Hoch,Jacob Frey,1
Tom Hoch,Betsy Hodges,Null,1
Tom Hoch,Jacob Frey,Null,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Nekima Levy-Pounds,Raymond Dehn,David Rosenfeld,1
Nekima Levy-Pounds,Tom Hoch,Jacob Frey,1
Betsy Hodges,Nekima Levy-Pounds,David Rosenfeld,1
Tom Hoch,Nekima Levy-Pounds,Jacob Frey,1
Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
Jacob Frey,Betsy Hodges,Tom Hoch,1
Betsy Hodges,Raymond Dehn,Jacob Frey,1
Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
Tom Hoch,Jacob Frey,Al Flowers,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
Nekima Levy-Pounds,Jacob Frey,Al Flowers,1
Betsy Hodges,Nekima Levy-Pounds,Null,1
Betsy Hodges,David Rosenfeld,Captain Jack Sparrow,1
Betsy Hodges,Null,Null,1
Nekima Levy-Pounds,David Rosenfeld,Al Flowers,1
Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
Raymond Dehn,Al Flowers,Betsy Hodges,1
Tom Hoch,Aswar Rahman,Jacob Frey,1
Raymond Dehn,Jacob Frey,Betsy Hodges,1
Raymond Dehn,David Rosenfeld,Captain Jack Sparrow,1
Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
Tom Hoch,Jacob Frey,Null,1
Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
Tom Hoch,Jacob Frey,Null,1
Jacob Frey,Raymond Dehn,Betsy Hodges,1
Betsy Hodges,Jacob Frey,Null,1
Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
Betsy Hodges,Jacob Frey,Tom Hoch,1
Tom Hoch,Betsy Hodges,Null,1
Raymond Dehn,Al Flowers,Nekima Levy-Pounds,1
Nekima Levy-Pounds,Null,Null,1
Tom Hoch,Raymond Dehn,Jacob Frey,1
Betsy Hodges,Null,Null,1
Betsy Hodges,Raymond Dehn,Ian Simpson,1
Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
Jacob Frey,Tom Hoch,Null,1
Jacob Frey,Null,Null,1
Tom Hoch,Jacob Frey,Raymond Dehn,1
Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
Nekima Levy-Pounds,Null,Null,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Betsy Hodges,Nekima Levy-Pounds,Null,1
Jacob Frey,Null,Null,1
Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
Jacob Frey,Null,Null,1
Betsy Hodges,Jacob Frey,Null,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Raymond Dehn,Betsy Hodges,Tom Hoch,1
Raymond Dehn,Null,Null,1
Tom Hoch,Null,Null,1
Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
Betsy Hodges,Tom Hoch,Nekima Levy-Pounds,1
Tom Hoch,Jacob Frey,Raymond Dehn,1
Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
Jacob Frey,Null,Null,1
Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
Betsy Hodges,Raymond Dehn,Al Flowers,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Jacob Frey,Nekima Levy-Pounds,David John Wilson,1
Betsy Hodges,Jacob Frey,Null,1
Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
Jacob Frey,Null,Null,1
Jacob Frey,Betsy Hodges,Raymond Dehn,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Jacob Frey,Raymond Dehn,Tom Hoch,1
Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
Raymond Dehn,Al Flowers,Null,1
Tom Hoch,Jacob Frey,Raymond Dehn,1
Betsy Hodges,Raymond Dehn,Jacob Frey,1
Nekima Levy-Pounds,Raymond Dehn,Tom Hoch,1
Jacob Frey,Nekima Levy-Pounds,Null,1
Raymond Dehn,David Rosenfeld,Captain Jack Sparrow,1
Tom Hoch,Raymond Dehn,Ian Simpson,1
Jacob Frey,Betsy Hodges,Tom Hoch,1
Betsy Hodges,Null,Null,1
Betsy Hodges,Tom Hoch,Jacob Frey,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
Nekima Levy-Pounds,Betsy Hodges,Jacob Frey,1
Jacob Frey,Betsy Hodges,Raymond Dehn,1
Nekima Levy-Pounds,Raymond Dehn,Al Flowers,1
Jacob Frey,Tom Hoch,Raymond Dehn,1
Jacob Frey,Betsy Hodges,Null,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Betsy Hodges,Jacob Frey,Tom Hoch,1
Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
Jacob Frey,Tom Hoch,Null,1
Nekima Levy-Pounds,L.A. Nik,Aswar Rahman,1
Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Jacob Frey,Null,Null,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
Jacob Frey,Null,Null,1
Jacob Frey,Tom Hoch,Null,1
Betsy Hodges,Tom Hoch,Raymond Dehn,1
Jacob Frey,Tom Hoch,Betsy Hodges,1
Raymond Dehn,Null,Null,1
Jacob Frey,Raymond Dehn,Tom Hoch,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
Raymond Dehn,Tom Hoch,Betsy Hodges,1
Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
Betsy Hodges,Null,Null,1
Tom Hoch,Jacob Frey,Null,1
Jacob Frey,Null,Null,1
Betsy Hodges,Null,Null,1
Raymond Dehn,Betsy Hodges,Null,1
Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
Betsy Hodges,Jacob Frey,Null,1
Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
Tom Hoch,Jacob Frey,Null,1
Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
Jacob Frey,Null,Null,1
Ronald Lischeid,Tom Hoch,Jacob Frey,1
Betsy Hodges,Jacob Frey,Tom Hoch,1
Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Jacob Frey,Null,Null,1
Tom Hoch,Betsy Hodges,Null,1
Raymond Dehn,Betsy Hodges,Jacob Frey,1
Tom Hoch,Jacob Frey,Raymond Dehn,1
Raymond Dehn,Nekima Levy-Pounds,Null,1
Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
Raymond Dehn,Jacob Frey,Tom Hoch,1
Tom Hoch,Captain Jack Sparrow,David John Wilson,1
Jacob Frey,Null,Null,1
Jacob Frey,Tom Hoch,David John Wilson,1
Jacob Frey,Betsy Hodges,Null,1
Jacob Frey,Tom Hoch,Raymond Dehn,1
Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
Tom Hoch,Jacob Frey,Charlie Gers,1
Tom Hoch,Raymond Dehn,Null,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Tom Hoch,Jacob Frey,Betsy Hodges,1
Jacob Frey,Null,Null,1
Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
Aswar Rahman,Betsy Hodges,Tom Hoch,1
Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
Jacob Frey,Null,Null,1
