CandidacyID,DefaultBallotName
217561,Arthur Z. Schwartz
217562,Jumaane D. Williams
217563,Christopher  A. Sosa
217564,Lindsey C. Boylan
217566,Fernando A. Aquino
217567,Ruth L. McDaniels
217568,Mino Lora
217569,Marti Gould  Allen-Cummings
217570,Kelmy Rodriquez
217571,Abdourahamane Diallo
217572,Eric L. Adams
217573,Angel Cruz
217574,Soma S. Syed
217576,Sabrina N. Gates
217578,Verena C. Powell
217579,Phil Hollant
217581,Curtis A. Sliwa
217583,Xavier Santiago
217585,Casilda E. Roper-Simpson
217587,Jo Ann Lawson
217603,Michael G. Scala
217605,Scott M. Stringer
217607,Brian A. Benjamin
217608,Brad M. Hoylman
217609,Alvin L. Bragg Jr.
217610,Anthony Miranda
217611,Sylvia T. Miranda
217613,Umar Zaidi
217614,Jilani Warsi
217615,Shabana Warsi
217616,Stu Sherman
217617,Marie M. Adam-Ovide
217623,Liliana C. Melo
217627,John J. Ciafone
217632,Alfonso Quiroz
217638,Glennis E. Gomez
217650,Marva C. Brown
217653,Sultan Al Maruf
217654,Aaron S. Foldenauer
217655,Curtis M. Harris
217661,Vickie Paladino
217663,Earnestine Bell Temple
217666,Juana H. Luna
217667,Johanna Garcia
217668,Dolores Leito
217670,Maria A. Luna
217671,Bruce Robertson
217672,Larry Temple
217673,Romula Jimenez
217674,Jackie Rowe Adams
217675,Anna Gibson
217676,Edith M. Prentiss
217678,Dan Quart
217679,Luis R. Tapia
217680,Douglas J. Shapiro
217681,Brad Lander
217682,Hugh Stroud
217683,Curtis Young
217684,Erik D. Bottcher
217685,Rita Miller
217686,Richard Williams
217689,Robert Reed
217691,Lois J. Naftulin
217692,Reshma Patel
217693,Jazmin Del Valle
217695,Nidal Safi
217696,Mark D. Levine
217698,Rosa A. Greer
217699,Matthew Levy
217701,Carolyn McBain
217702,Stephen A. Sirgiovanni
217703,Carlina Rivera
217704,Danneris M. Hernandez
217711,Leslie Espaillat
217724,Nancy Brown
217734,Maria I. Taveras
217735,Caridad Figueroa
217736,Linda Royster
217738,Jose Cruz
217740,Patricia Scarborough
