Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Count
Fruit,Chips,Muffins,Munchkins,Popcorn,1
Fruit,Popcorn,Munchkins,Chips,Muffins,1
Munchkins,Chips,Fruit,Muffins,Popcorn,1
Fruit,Chips,Popcorn,Munchkins,Muffins,1
Popcorn,Chips,Fruit,Munchkins,Muffins,1
Fruit,Popcorn,Chips,Munchkins,Muffins,1
Chips,Popcorn,Muffins,Munchkins,Fruit,1
Munchkins,Muffins,Chips,Popcorn,Fruit,1
Fruit,Munchkins,Popcorn,Muffins,Chips,1
Fruit,Chips,Munchkins,Muffins,Popcorn,1
Fruit,Muffins,Chips,Popcorn,Munchkins,1
Chips,Munchkins,Fruit,Muffins,Popcorn,1
Fruit,Popcorn,Chips,Muffins,Munchkins,1
Fruit,Chips,Popcorn,Munchkins,Muffins,1
Munchkins,Chips,Fruit,Muffins,Popcorn,1
Fruit,Munchkins,Muffins,Chips,Popcorn,1
Munchkins,Muffins,Fruit,Chips,Popcorn,1
Fruit,Popcorn,Chips,Muffins,Munchkins,1
Chips,Popcorn,Munchkins,Fruit,Muffins,1
Fruit,Popcorn,Muffins,Munchkins,Chips,1
Chips,Popcorn,Munchkins,Fruit,Muffins,1
Popcorn,Fruit,Chips,Munchkins,Muffins,1
Munchkins,Muffins,Fruit,Chips,Popcorn,1
Fruit,Popcorn,Chips,Munchkins,Muffins,1
Fruit,Muffins,Chips,Munchkins,Popcorn,1
Chips,Fruit,Munchkins,Popcorn,Muffins,1
Muffins,Fruit,Munchkins,Popcorn,Chips,1
